Source,Search Term,Job Title,Company Name,Location,Salary,Page
Indeed,data scientist,Inventory Supervisor,Chef'd,"El Segundo, CA 90245",NA,290
Indeed,data scientist,Senior Clinical Scientist,"Pharmacyclics, an Abbvie Company","Sunnyvale, CA",NA,290
Indeed,data scientist,"Chemist, GS-1320-11 (DEU-DS)",Department of the Interior,"Woods Hole, MA","$67,643 - $87,940 a year",290
Indeed,data scientist,FGP Nurse,FGP-Acquisition Dept (S1826) NYU School of Medicin...,"New York, NY",NA,290
Indeed,data scientist,Front End Web Engineer,Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$130,000 - $140,000 a year",290
Indeed,data scientist,FGP Sec I-Intake/Sched (37.5),Ambulatory/Outpatient NYU Langone at Great Neck NY...,"Great Neck, NY",NA,290
Indeed,data scientist,FGP Sec I-Intake/Sched (37.5),FGP-Acquisition Dept (S1826) NYU School of Medicin...,"New York, NY",NA,290
Indeed,data scientist,FGP Sec I-Intake/Sched (37.5),FGP-Ambulatory Care LI Cardio (S1715) NYU School o...,"Lake Success, NY",NA,290
Indeed,data scientist,Senior Quality Systems Specialist,BOEING,"Mesa, AZ 85215 (Northeast area)",NA,290
Indeed,data scientist,FGP Medical Secretary (37.5),FGP-Acquisition Dept (S1826) NYU School of Medicin...,"New York, NY",NA,290
Indeed,data scientist,Clinical Lab Technologist-Flow Cytometry,Labs-Pathology Administration (H667) NYU Langone H...,"New York, NY",NA,290
Indeed,data scientist,Nurse Practitioner - Center for Diabetes and Metabolic Healt...,Medicine-Endoc Division (S583) NYU School of Medic...,"New York, NY",NA,290
Indeed,data scientist,"Senior Business Systems Analyst, Drug Safety and Pharmacovig...","Pharmacyclics, an Abbvie Company","Sunnyvale, CA",NA,290
Indeed,data scientist,Field Scanner Operator (Applications Systems Analyst/Develop...,University of Arizona,"Tucson, AZ",NA,290
Indeed,data scientist,Tax Research Analyst-Associate,"Vertex, Inc.","King of Prussia, PA",NA,290
Indeed,data scientist,Mid-Level Ground System Systems Engineer,BOEING,"El Segundo, CA 90245",NA,290
Indeed,data scientist,Senior Computer Aided Measurement Systems (CAMS) / Metrology...,BOEING,"Everett, WA 98204 (Holly area)",NA,290
Indeed,data scientist,"Data Scientist, Amazon Alexa",Amazon.com,"Pittsburgh, PA",NA,290
Indeed,data scientist,Data Scientist,"Kivishinfotech,Corp","Washington, DC","$50,000 - $60,000 a year",290
Indeed,data scientist,Data Scientist,Negocios IT Solutions LLC,"San Jose, CA",NA,290
Indeed,data scientist,Data Scientist,Adwait Algorithm,"Jersey, GA",NA,290
Indeed,data scientist,Data Analysis Internship,EPIC-Africa,"New York, NY 10038 (Financial District area)",NA,290
Indeed,data scientist,Machine Learning Engineer,DCM Data Systems,"Moorestown, NJ",NA,290
Indeed,data scientist,Data Science resources,Region Technologies Inc,"Charlotte, NC",NA,290
Indeed,data scientist,Data Scientist,Walmart eCommerce,"Sunnyvale, CA",NA,290
Indeed,data scientist,Data Scientist,Rightpoint,"Chicago, IL",NA,290
Indeed,data scientist,Machine Learning Scientist,Amazon.com,"Seattle, WA",NA,290
Indeed,data scientist,Data Review Scientist (Biopharma),Piper Companies,"Durham, NC 27704",NA,290
Indeed,data scientist,Machine Learning Consultant (Tensorflow/Azure ML),"Global Resource Management, Inc","Redmond, WA",NA,290
Indeed,data scientist,Data Scientist II,WSP Group,"San Jose, CA",NA,290
Indeed,data scientist,Quantitative Analyst,Selective Insurance Group,"Branchville, NJ",NA,290
Indeed,data scientist,Machine Learning Developer,SAS Institute,"Cary, NC",NA,290
Indeed,data scientist,Environmental Data Scientist,o'brien & gere engineers,"Chicago, IL",NA,290
Indeed,data scientist,Senior Machine Learning Scientist,Tech Mavens,"San Francisco Bay Area, CA","$120,000 - $180,000 a year",290
Indeed,data scientist,Business Intelligence Developer/Analyst (Compliance Consulta...,Wells Fargo,"Charlotte, NC",NA,290
Indeed,data scientist,Data Analyst II,Massachusetts General Hospital(MGH),"Boston, MA",NA,290
Indeed,data scientist,"Packaging Data Technician - Brentwood, TN",Mars,"Brentwood, TN",NA,290
Indeed,data scientist,PRINCIPAL DATA SCIENTIST,CenturyLink,"Denver, CO 80202 (Lodo area)",NA,290
