Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
54.0,Te Vas,Ozuna,43704.0,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU,2017-01-01,ar,0.7959999999999999,0.29100000000000004,0.0403,176.03,0.923,0.836,95.0,1
55.0,Closer,The Chainsmokers,43403.0,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ar,0.748,0.524,0.0338,95.01,0.6609999999999999,0.414,90.0,1
56.0,Locuras contigo,Rombai,43260.0,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg,2017-01-01,ar,0.723,0.774,0.0403,109.1,0.7709999999999999,0.179,67.0,1
57.0,Treat You Better,Shawn Mendes,42815.0,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,ar,0.624,0.8029999999999999,0.246,166.018,0.821,0.123,86.0,1
58.0,Era Tranquila,Marama,42785.0,https://open.spotify.com/track/5OqaLWo9WbNPWDilrwNwzt,2017-01-01,ar,0.775,0.882,0.04,110.025,0.845,0.0922,65.0,1
59.0,Baila,Agapornis,42127.0,https://open.spotify.com/track/3iS4VBJ3Bg1HyL3e6WNpgi,2017-01-01,ar,0.7959999999999999,0.838,0.0574,106.007,0.96,0.244,58.0,1
60.0,Nena,Marama,41737.0,https://open.spotify.com/track/347TStOSY6IOqMB84Rpxwk,2017-01-01,ar,0.75,0.716,0.0336,110.068,0.8809999999999999,0.11,65.0,1
61.0,Deja De Llorar,El Polaco,40065.0,https://open.spotify.com/track/3tddzXTgneWrkV2cYNUBZe,2017-01-01,ar,0.75,0.943,0.228,90.095,0.779,0.279,55.0,1
62.0,El Perdedor,Maluma,39691.0,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O,2017-01-01,ar,0.7020000000000001,0.73,0.099,173.967,0.879,0.425,89.0,1
63.0,Traicionera - Remix,Sebastian Yatra,37518.0,https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We,2017-01-01,ar,0.7659999999999999,0.747,0.0619,91.06,0.856,0.0293,85.0,1
64.0,Yo te propongo,Rombai,36808.0,https://open.spotify.com/track/0YFoSD5VhoVrRbrnFERpVM,2017-01-01,ar,0.851,0.867,0.0589,112.178,0.77,0.0514,67.0,1
65.0,El Perdedor - The Remix,Maluma,36510.0,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa,2017-01-01,ar,0.7509999999999999,0.742,0.12,173.94099999999997,0.85,0.3670000000000001,89.0,1
66.0,Lo Intentamos,Marama,35965.0,https://open.spotify.com/track/4Kzk0koKwzCMiIx4rAqCZp,2017-01-01,ar,0.778,0.86,0.0672,112.093,0.7070000000000001,0.16899999999999998,65.0,1
67.0,Hasta la luna,#TocoParaVos,35806.0,https://open.spotify.com/track/1A3yLIqelu1D7MCtw06Cu7,2017-01-01,ar,0.8370000000000001,0.605,0.0798,107.998,0.723,0.0124,55.0,1
68.0,Comerte a Besos (feat. Cande Buasso),Pijama Party,34879.0,https://open.spotify.com/track/4UHZMWgKDjJ1zS0t6f6qPv,2017-01-01,ar,0.8079999999999999,0.59,0.0455,110.029,0.745,0.0319,54.0,1
69.0,La Mordidita,Ricky Martin,34638.0,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,2017-01-01,ar,0.725,0.903,0.0658,142.006,0.946,0.0344,77.0,1
70.0,Ginza,J Balvin,34542.0,https://open.spotify.com/track/5N8nNuTmIzkZOfcxXlygUw,2017-01-01,ar,0.763,0.812,0.0792,101.95,0.828,0.187,94.0,1
71.0,Call On Me - Ryan Riback Extended Remix,Starley,33892.0,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,ar,0.6759999999999999,0.843,0.0367,105.003,0.718,0.0623,70.0,1
72.0,El Perdón,Nicky Jam,33188.0,https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,2017-01-01,ar,0.628,0.69,0.0511,179.91099999999997,0.662,0.446,89.0,1
73.0,Pasarla Bien,Marama,33111.0,https://open.spotify.com/track/0ZzVPCGdkpKcxAzMNDD5UZ,2017-01-01,ar,0.652,0.733,0.0906,108.062,0.754,0.0456,65.0,1
74.0,No Llores,LOAN,32778.0,https://open.spotify.com/track/07GOnZWIiHWjLzUsaTv5yO,2017-01-01,ar,0.609,0.703,0.0939,209.86,0.715,0.0662,32.0,1
75.0,Would I Lie To You - Radio Edit,David Guetta,32198.0,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2,2017-01-01,ar,0.6709999999999999,0.826,0.309,123.986,0.774,0.00718,89.0,1
76.0,I Feel It Coming,The Weeknd,30754.0,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,ar,0.768,0.813,0.128,92.994,0.579,0.4270000000000001,93.0,1
