name,screen_name,location,created_at,friends_count,followers_count,statuses_count,favourites_count
Michael J Fox,mjfoxy12,"Orlando, FL",Wed Feb 04 17:09:49 +0000 2009,288,335,617,8
Ian Kearney,ianokearney,"Galway, Ireland",Thu May 19 15:19:29 +0000 2011,648,416,1258,663
Kate Ruth Brewer,KateRuthBrewer,Aberdeen ,Tue Jan 27 15:24:33 +0000 2009,285,368,1971,954
Scott Marr,Scottmarr8,"Edinburgh, Scotland",Sun Apr 22 23:21:55 +0000 2012,466,1167,637,758
Joe Russell,JoefromDoonbeg,"Doonbeg, Co. Clare Ireland",Wed Feb 24 04:27:38 +0000 2010,137,314,67,97
James Sowers,TrumpCLTsupt,"Mooresville, NC",Wed Nov 04 17:52:23 +0000 2015,219,309,65,19
Jim McLean Doral,JimMcLeanDoral,"Miami, FL",Sun Jun 16 13:35:43 +0000 2013,2041,2303,3559,138
Matthew LaDolcetta,MattLaDolcetta,"New York, New York",Fri May 29 17:49:07 +0000 2009,553,1170,1080,1548
Jim Herman,gohermie,"Palm City, FL",Fri May 29 14:02:16 +0000 2009,559,5944,578,13
Tri at the Trump,triatthetrump,"Mooresville, NC",Mon Sep 28 19:25:38 +0000 2015,423,62,58,4
Hello,HeyItsLindaC,,Wed Sep 30 02:09:41 +0000 2015,842,24867,378,3043
Gillian,D29Gillian,"Stamford, CT",Thu Apr 11 00:52:51 +0000 2013,70,43,20,24
Cristie Kerr,CKGolferChic,,Fri Sep 09 19:36:29 +0000 2011,251,34025,3393,128
TrumpNationalJupiter,TNGCJ,"Jupiter, FL",Wed Nov 06 20:56:01 +0000 2013,39,84,13,3
LINKS Magazine,LINKSMagazine,"Hilton Head Island, SC",Wed Aug 19 15:05:03 +0000 2009,540,4767,2707,367
Bleacher Report,BleacherReport,,Sat Mar 10 23:52:36 +0000 2007,547,3054208,60467,89
Erin Andrews,ErinAndrews,Everywhere,Mon Mar 08 02:12:04 +0000 2010,553,2980140,18985,18
NCAA,NCAA,,Tue Apr 14 13:36:56 +0000 2009,1304,1628048,9664,507
Olympics,Olympics,"Lausanne, Switzerland",Tue Jun 30 15:23:29 +0000 2009,3826,4334702,4180,805
Sports Illustrated,SInow,"New York, NY",Thu Apr 02 16:42:30 +0000 2009,669,1557163,174295,1938
Star Diamond Award,AAHSAWARD,New York City,Thu Dec 30 21:41:13 +0000 2010,726,786,923,363
CBS Sports,CBSSports,,Fri May 23 20:01:16 +0000 2008,984,871979,97794,66
Mike Greenberg,Espngreeny,Instagram: @espngreeny ,Fri Feb 10 00:04:18 +0000 2012,246,1028552,14886,293
Jason Day,JDayGolf,,Mon Jul 15 19:21:24 +0000 2013,89,406386,352,241
Fox News,FoxNews,U.S.A.,Sat Mar 17 19:01:26 +0000 2007,402,10699382,268125,0
The Associated Press,AP,Global,Fri Jun 26 21:48:52 +0000 2009,7282,8484008,153677,10
KPMG Stacy Lewis,StacyLewis_KPMG,"New York, NY",Wed Feb 27 23:30:18 +0000 2013,297,22231,6714,607
NBC News,NBCNews,"New York, NY",Tue Mar 18 23:19:17 +0000 2008,2927,3788891,90798,725
Wally Szczerbiak,wallyball,,Tue Jul 26 19:10:03 +0000 2011,475,43247,14442,2965
Ted Bishop,tedbishop38pga,The Legends Golf Club,Wed Oct 21 17:43:35 +0000 2009,359,5592,2055,424
NBC Sports,NBCSports,,Fri Jan 04 22:16:49 +0000 2008,1166,742468,71767,2002
WGC_Bridgestone,WGC_Bridgestone,"Akron, Ohio, U.S.A.",Mon Jun 07 03:50:34 +0000 2010,372,9538,1723,1110
Kelly Tilghman,KellyTilghmanGC,,Mon Jun 07 18:46:46 +0000 2010,144,107063,11258,1
Frank Nobilo,FrankNobiloGC,,Mon Oct 04 18:15:29 +0000 2010,445,72153,9344,37
brandel chamblee,chambleebrandel,,Sun Dec 05 03:21:59 +0000 2010,1447,88165,12227,3135
