name,screen_name,location,created_at,friends_count,followers_count,statuses_count,favourites_count
Chris Christie,ChrisChristie,,Fri Apr 12 17:12:47 +0000 2013,201,145674,2856,224
John Kasich,JohnKasich,"Westerville, Ohio",Wed Dec 10 14:33:27 +0000 2008,10076,422819,8957,785
United,united,,Fri Mar 04 21:23:11 +0000 2011,46986,837149,661620,1765
President of Russia,KremlinRussia_E,,Thu Oct 21 08:06:17 +0000 2010,21,435705,4298,0
Steve Carell,SteveCarell,Los Angeles,Wed Feb 22 18:57:30 +0000 2012,48,4899096,133,0
Anonymous,YourAnonGlobal,Global,Fri Apr 26 13:27:49 +0000 2013,1035,127330,52030,5297
kraig swinburne,kswinburne,,Mon Oct 17 17:18:33 +0000 2011,202,481,14617,1971
Bill Gates,BillGates,"Seattle, WA",Wed Jun 24 18:44:10 +0000 2009,169,30520703,2131,6
Phil Hartmark,philhartmark,Maryland,Fri Jan 17 19:02:46 +0000 2014,557,748,18076,4467
Nick Ayers,nick_ayers,,Mon Jun 29 18:26:37 +0000 2009,1257,8113,2465,1113
"David A. Clarke, Jr.",SheriffClarke,"Milwaukee, WI",Mon Mar 01 22:39:39 +0000 2010,119,273971,9368,2758
Dan Roberts,RobertsDan,Washington DC,Fri Mar 20 11:49:24 +0000 2009,2489,15244,9687,1701
Rep. Dave Brat,RepDaveBrat,"Washington, DC",Wed Jun 11 00:22:04 +0000 2014,707,3931,1205,79
Patrick Caddell,patrick_caddell,"New York, NY",Thu May 16 17:10:58 +0000 2013,13,2169,15,0
Deer_Valley,Deer_Valley,"Park City, UT",Tue Oct 14 15:05:26 +0000 2008,609,14469,5077,9363
Park City,PCski,"Park City, UT",Thu Oct 23 21:24:57 +0000 2008,6722,32679,11659,4806
Shannon Bream,ShannonBream,"Washington, DC",Wed Jan 14 17:21:51 +0000 2009,1220,172016,22789,3700
Max Kingsley,kingmaxsquatch,,Mon Nov 17 03:21:04 +0000 2014,12,24,2,3
Kevin Almond,KevinAlmond6,"Tuscaloosa, AL",Tue Sep 17 19:07:35 +0000 2013,329,327,814,1526
rob gondwe,RobGondwe,,Sun Nov 02 18:39:56 +0000 2014,371,321,789,97
Teresa,mountianmama64,Tennessee ,Mon Oct 06 23:53:21 +0000 2014,686,757,20903,2428
Al B. Damned,Al_B_Damned,'Murica...and sometimes Yurp,Tue Nov 15 18:28:02 +0000 2011,535,422,9143,767
Rob Gronkowski,RobGronkowski,,Tue Apr 20 19:27:19 +0000 2010,398,1563025,3269,146
Wall Street Journal,WSJ,"New York, NY",Sun Apr 01 06:22:13 +0000 2007,1074,11718530,170580,1296
FieldRoamer,FieldRoamer,United States,Fri Nov 16 04:28:35 +0000 2012,493,874,168354,7278
Rick  De La Garza,RichardDeLaGar4,Las Vegas NV.,Wed Oct 16 15:32:01 +0000 2013,4806,4573,27652,15053
Mark R. Levin,marklevinshow,Underground Bunker,Thu May 07 19:18:36 +0000 2009,3,622115,12276,0
Dinesh D'Souza,DineshDSouza,United States,Sun Nov 22 22:32:41 +0000 2009,4054,341350,11453,511
Live Action News,LiveActionNews,United States,Sun May 17 07:19:19 +0000 2009,290,13346,26015,370
Steve Kitcoff,SoloVoc,,Tue Jul 26 20:59:37 +0000 2011,57,199,24480,53
Tammy Haddad,haddadmedia,"Washington, DC",Thu Nov 13 02:02:14 +0000 2008,514,4131,889,250
T. Boone Pickens,boonepickens,"Dallas, TX",Thu Mar 19 16:26:26 +0000 2009,378,141065,2472,34
Jeff Williamson,Buc_fever,"Washington, NC",Fri Apr 10 02:09:58 +0000 2009,115,161,3357,2143
Nikki Haley,nikkihaley,South Carolina,Mon May 04 14:10:21 +0000 2009,142,151495,3970,110
Paul Ryan,PRyan,,Thu Aug 02 23:34:52 +0000 2012,102,747066,1145,0
Scott Walker,ScottWalker,"Wisconsin, USA",Tue Apr 21 01:15:16 +0000 2009,198,234277,8739,12
Muhammad Ataya,supaflymo,OC California,Fri Mar 13 19:57:09 +0000 2009,338,202,95,357
Dan Patrick,DanPatrick,Texas,Mon Nov 24 01:23:31 +0000 2008,972,26576,3838,358
Luke Lewis,lukelewis,London,Mon Dec 22 16:13:17 +0000 2008,2287,29405,19491,4717
miranda frum,mirandafrum,,Fri May 16 11:13:16 +0000 2014,318,506,1880,1448
Karl J Balone,KarlTPF,"Palm Bay, FL",Wed Feb 05 03:48:22 +0000 2014,3593,3609,80612,1859
Donald Hawk,HawkSMI,"Charlotte, North Carolina",Wed Nov 23 17:18:37 +0000 2011,792,5875,12886,4104
Republicans,NRSC,"Washington, D.C.",Tue May 01 20:26:36 +0000 2007,3153,80605,23607,6
NRCC,NRCC,"Washington, D.C.",Wed Apr 25 13:15:21 +0000 2007,866,69847,11410,13
GOP,GOP,"Washington, DC",Thu Dec 13 17:15:41 +0000 2007,1659,797013,24448,300
House Republicans,HouseGOP,"Washington, DC",Mon Jun 23 14:41:52 +0000 2008,10182,317745,11311,411
Senator Ted Cruz,SenTedCruz,"Houston, Texas",Wed Jan 09 18:11:37 +0000 2013,7446,798226,4482,212
Gov. Bobby Jindal,BobbyJindal,"Baton Rouge, LA",Fri Oct 31 01:35:15 +0000 2008,20635,242730,3371,0
Jeb Bush,JebBush,"Miami, FL",Wed Feb 10 14:45:07 +0000 2010,256,727082,4129,68
