Date,Open,High,Low,Close,Adj Close,Volume
2013-05-09,84.098061,84.532837,83.885292,84.190567,73.872108,1235100
2013-05-10,84.347824,84.569839,83.737282,84.375580,74.034431,1033800
2013-05-13,84.153564,84.375580,83.718781,84.033302,73.734108,692500
2013-05-14,84.153564,84.773361,83.783531,84.727104,74.342873,962500
2013-05-15,84.569839,85.522667,84.107307,85.457909,74.984123,1349400
2013-05-16,85.198891,85.994446,85.134132,85.818687,75.300674,1050700
2013-05-17,86.031456,87.409805,85.911194,87.261795,76.566925,1146000
2013-05-20,87.030525,88.260872,87.012024,87.705826,76.956543,1215100
2013-05-21,87.881592,88.334877,87.456062,87.752083,76.997116,727600
2013-05-22,87.650322,88.945419,87.446808,87.992599,77.208153,2133500
2013-05-23,86.466232,87.308044,86.133209,87.113785,76.437050,1490600
2013-05-24,86.688255,87.012024,86.271973,86.891769,76.242241,991100
2013-05-28,87.853836,88.029602,87.271042,87.613319,76.875366,902500
2013-05-29,87.169289,87.937096,86.975021,87.539314,76.810417,963800
2013-05-30,87.742828,87.974098,87.354301,87.779831,77.021477,760500
2013-05-31,87.428307,88.131363,87.150787,87.335800,76.631851,1775100
2013-06-03,87.317299,87.696579,86.938019,87.668823,76.924065,1537700
2013-06-04,87.419060,88.381126,87.271042,88.242371,77.427315,1560400
2013-06-05,87.946342,88.362625,87.049026,87.049026,76.380234,2327600
2013-06-06,87.132286,87.567070,86.734505,87.465309,76.745499,1950700
2013-06-07,87.770584,88.011101,86.956520,87.964844,77.183792,1530400
2013-06-10,87.974098,88.159111,87.650322,87.872337,77.102631,1198700
2013-06-11,87.058281,88.205368,86.725258,87.789085,77.029579,1600500
2013-06-12,88.214615,88.344124,87.613319,87.687325,76.940300,2317200
2013-06-13,87.585571,88.436630,87.243294,88.196114,77.386711,1505200
2013-06-14,88.556892,89.352455,88.112862,89.130432,78.206528,2486900
2013-06-17,89.398705,89.620720,89.037926,89.333954,78.385109,1894400
2013-06-18,89.315445,89.491211,88.936172,89.343201,78.393234,1403500
2013-06-19,89.472710,89.842735,88.917671,88.954674,78.052322,1428600
2013-06-20,88.233116,88.538391,87.086029,87.215538,76.526337,2121500
2013-06-21,87.224792,87.696579,86.604996,87.502312,76.777969,2584500
2013-06-24,86.623497,86.993523,85.670677,86.540237,75.933800,2047300
2013-06-25,87.160034,87.724327,86.882515,87.520813,76.794197,2012900
2013-06-26,88.510635,89.176689,88.251617,88.926918,78.027962,1520300
2013-06-27,87.400558,87.668823,85.448662,85.827934,75.914909,3111600
2013-06-28,85.726181,86.188713,84.468086,84.708603,74.924873,3278300
2013-07-01,84.653099,87.900093,83.811287,86.503235,76.512215,3655900
2013-07-02,85.226639,86.586494,83.691025,83.950043,74.253929,4806500
2013-07-03,83.820534,85.263641,83.367256,84.542091,74.777580,1552800
